"chrom","window","MDS1","MDS2"
"NW_022145598.1",1,-0.00864221079398977,0.000619433489446422
"NW_022145598.1",2,-0.0162395480764042,-0.00287834565431118
"NW_022145598.1",3,-0.0346986870299775,0.00918310442773423
"NW_022145598.1",4,-0.0306108690613953,0.0106695159222114
"NW_022145598.1",5,-0.00965673524940028,0.00206334687843192
"NW_022145598.1",6,0.00516059372491319,0.00135693403112082
"NW_022145598.1",7,0.00471232381284379,-0.000159390282224706
"NW_022145598.1",8,0.0120475768780826,-0.000851739968725258
"NW_022145598.1",9,0.00322497287071828,8.42292690022072e-05
"NW_022145598.1",10,0.000828468129205249,-0.00130172894089405
"NW_022145598.1",11,0.00289263356028041,-0.00958399941074158
"NW_022145598.1",12,-0.000793806906885448,-0.000914752745939087
"NW_022145598.1",13,0.00861580857386748,-0.00462619007581244
"NW_022145598.1",14,0.00959533212276988,0.00436655294968561
"NW_022145598.1",15,-0.00362165072689362,0.00288666115551266
"NW_022145598.1",16,0.0081138452211027,0.00355757058032403
"NW_022145598.1",17,0.00482989972350331,-0.00322992065945624
"NW_022145598.1",18,0.0053587283749045,-0.00844366793250598
"NW_022145598.1",19,-0.00461659907416647,0.00029439674999978
"NW_022145598.1",20,0.00641114135593331,-0.00426995098448378
"NW_022145598.1",21,0.0051103860687954,-0.00790467572510777
"NW_022145598.1",22,-0.0179344451442763,-0.00339578047433586
"NW_022145598.1",23,0.00417445534026272,0.0196158002992195
"NW_022145598.1",24,0.00917300479780562,-0.00378618200361251
"NW_022145598.1",25,0.00386110961836799,0.0155277892797643
"NW_022145598.1",26,0.00742958886087813,-0.00703203600853174
"NW_022145598.1",27,-0.00480941557562859,-0.00558830629064745
"NW_022145598.1",28,0.00561639034427957,-0.00327383795202021
"NW_022145598.1",29,0.00273751862884394,0.0187775177985325
"NW_022145598.1",30,0.0067193280591795,0.0049361901758374
"NW_022145598.1",31,-0.00412491803366165,-0.0212374611350312
"NW_022145598.1",32,-0.000490527311061845,-0.00599769899339855
"NW_022145598.1",33,-0.00550754570568519,-0.0018032415463222
"NW_022145598.1",34,-0.0114788840262952,-0.00251878258715636
"NW_022145598.1",35,-0.00624857131576583,0.00357127215980308
"NW_022145598.1",36,0.00286568417797803,-0.000622490625198134
"NW_022145598.1",37,0.00460722346662257,0.00926083317603343
