"chrom","window","MDS1","MDS2"
"NW_022145598.1",1,-0.013471803742361,0.0102812432470324
"NW_022145598.1",2,-0.0180561732466947,0.0328502304207929
"NW_022145598.1",3,-0.00885735212841681,0.00224944925335645
"NW_022145598.1",4,0.00211155298777891,-0.00819854803079463
"NW_022145598.1",5,0.00837018232355076,-0.00975862057736767
"NW_022145598.1",6,-0.0113244021381574,-0.00204122957006121
"NW_022145598.1",7,0.0112244387157941,0.000377158947247914
"NW_022145598.1",8,-0.00994799287514746,-0.0115892839732538
"NW_022145598.1",9,-0.0105725920969217,-0.0032256400535098
"NW_022145598.1",10,-0.0109869565985272,-0.0119656481891815
"NW_022145598.1",11,0.00697775876317312,0.00128507350117248
"NW_022145598.1",12,-0.00274468220786163,0.00826901349372912
"NW_022145598.1",13,-0.00588500235920531,0.0261430772766484
"NW_022145598.1",14,-0.00948127500202377,-0.00665834794242495
"NW_022145598.1",15,-0.00496279377068481,-0.0108579485529337
"NW_022145598.1",16,-0.00350025412963438,-0.010647254584877
"NW_022145598.1",17,-0.00944344943746243,-0.00789983756991831
"NW_022145598.1",18,-0.00799331721383516,-0.00692981703384723
"NW_022145598.1",19,0.0172789006429322,0.00421513436669171
"NW_022145598.1",20,-0.00334193079489045,0.0114234168316228
"NW_022145598.1",21,-8.8944648878284e-05,0.0149359994020679
"NW_022145598.1",22,-0.00594591319588374,-0.000324113206879341
"NW_022145598.1",23,0.000615608994616576,-0.00805401582523016
"NW_022145598.1",24,0.00910287771323995,-0.00127770016320451
"NW_022145598.1",25,-0.0104322960610907,-0.00727509929693414
"NW_022145598.1",26,-0.00580213612157843,-0.000832731543747224
"NW_022145598.1",27,-0.013981075061573,0.00954904028158604
"NW_022145598.1",28,-0.00836275158840339,0.00329246817936861
"NW_022145598.1",29,-0.0173633616032896,0.0140330456804277
"NW_022145598.1",30,-0.0104320668981565,-0.00646509987134326
"NW_022145598.1",31,-0.00462893456894092,-0.00287855903832525
"NW_022145598.1",32,0.014179973283264,0.0111458446107172
"NW_022145598.1",33,0.00619485831306759,0.00332347234108795
"NW_022145598.1",34,-0.0045603897631763,0.0047333910930977
"NW_022145598.1",35,0.00245658804285133,0.00349630888720602
"NW_022145598.1",36,-0.00422624612626233,-0.00574500304863915
"NW_022145598.1",37,-0.0088362210785891,-0.00966326386323117
"NW_022145598.1",38,-0.00269560297710224,-0.00806492426375026
"NW_022145598.1",39,-0.0141592955135324,-0.0111294886615893
"NW_022145598.1",40,0.00994423725636849,-0.0100593403043218
"NW_022145598.1",41,0.0201697898484861,0.00176436369771503
"NW_022145598.1",42,-0.0149138718869812,-0.0157517337530786
"NW_022145598.1",43,-0.00864173173128881,-0.000564110141714068
"NW_022145598.1",44,0.00354022453213366,-0.00558598366213672
"NW_022145598.1",45,-0.0143437269131687,0.0143815280519911
"NW_022145598.1",46,-0.00697263955837666,0.0151679142314257
"NW_022145598.1",47,-0.00478393194066501,-0.00764046822892944
"NW_022145598.1",48,-0.0128544417812647,0.000899475276613127
"NW_022145598.1",49,-0.0129188262847674,-0.00580396584799457
"NW_022145598.1",50,-0.010937405177916,-0.0097685405680633
"NW_022145598.1",51,0.0291135642763443,0.00257150133346722
"NW_022145598.1",52,-0.012001325528164,-0.0132883383730664
"NW_022145598.1",53,0.00260321940067391,-0.00799667573362236
"NW_022145598.1",54,-0.00831225477490225,0.00897294998454015
"NW_022145598.1",55,-0.000978897093830791,-0.00418152394849026
"NW_022145598.1",56,0.0149053064567736,0.00452742816466055
"NW_022145598.1",57,-0.00836769821977463,-0.00652723254152531
"NW_022145598.1",58,-0.0126731332311864,0.00174484219441338
"NW_022145598.1",59,-0.00139057941108271,-0.00385245477316807
"NW_022145598.1",60,-0.00660707493206869,-0.00427454551244067
"NW_022145598.1",61,-0.0110677470218775,-0.00631162056385578
